company,fiscal_year,category,metric,value_numeric,value_text,unit,source,notes,comparable,reason,confidence
Amazon,2025,Water,Water Use Effectiveness (WUE),0.12,,L/kWh,Narrative + corroborated chart,52% improvement since 2021,Yes,Same metric as Microsoft,High
Amazon,2025,Water,High-Water-Stress Withdrawal,22,,%,Page 14-16,,No,Different basis than Microsoft's WRI framework,Medium
Amazon,2025,Waste,Total Waste Generated,,,metric tons,,Not disclosed,No,Not disclosed,Missing
Amazon,2025,Waste,Waste Diversion Rate (company-wide),84,,%,Amazon Sustainability Report,82% recycled/composted + 2% incineration w/ energy recovery,Yes,Company-wide basis,High
Amazon,2025,Waste,Waste Diversion Rate (Devices only),99,,%,Amazon Sustainability Report,"89 supplier sites, UL Solutions verified",No,Sub-segment scope,High
Amazon,2025,Waste,Waste Intensity per Shipped Unit,-5,,% YoY,Amazon Sustainability Report,Grams per shipped unit,No,Amazon-specific metric,High
Amazon,2025,Net Zero,Target Year,2040,,year,Page 5,"The Climate Pledge, global operations",Yes,Directly stated,High
Microsoft,2025,Company Info,Reporting Period,,"Jul 1, 2024 - Jun 30, 2025",text,,,,High,
Microsoft,2025,Company Info,Revenue,281724,,$M,"Microsoft DFS, Table 4","FY ended June 30, 2025",Yes,,High
Microsoft,2025,Company Info,Employees,228000,,count,"Microsoft 10-K, Human Capital","Full-time, as of June 30, 2025",Yes,6-month offset vs calendar-year companies,High
Microsoft,2025,Carbon,Scope 1,0.171,,MMT CO2e,DFS Table 1A,"170,887 mtCO2e",Yes,GHGP-aligned,High
Microsoft,2025,Carbon,Scope 2 (market-based),2.707,,MMT CO2e,DFS Table 1A,Sharp rise from FY24 (0.259 MMT),Yes,Standardized market-basis,High
Microsoft,2025,Carbon,Scope 2 (location-based),12.031,,MMT CO2e,DFS Table 1A,,Yes,Comparable vs Google,High
Microsoft,2025,Carbon,Scope 3,18.243,,MMT CO2e,DFS Table 1A,GHGP-aligned subtotal,Yes,GHGP-aligned,High
Microsoft,2025,Carbon,Total Emissions (GHGP-aligned),21.121,,MMT CO2e,DFS Table 1A,Not Table 1B alt (20.29 MMT),Yes,Standard basis,High
Microsoft,2025,Carbon,Carbon Intensity,75,,g/$,DFS Table 4,Converted from mtCO2e/$M revenue,Yes,Converted matching unit,High
Microsoft,2025,Energy,Total Energy Consumption,37461476,,MWh,DFS Table 5,,Yes,Comparable vs Google,High
Microsoft,2025,Energy,"Renewable Match (direct, incl. grid mix)",100,,%,DFS Table 6,Headline figure,No,Includes grid-mix,Medium
Microsoft,2025,Energy,"Renewable Match (matched, excl. grid mix)",93.3,,%,DFS Table 5 footnote,Matched renewable electricity / electricity consumption,Yes,Closest match to Amazon/Google,Medium
Microsoft,2025,Energy,PUE,1.17,,ratio,DFS narrative,Global average,Yes,Directly comparable,High
Microsoft,2025,Water,Water Withdrawal,13.266,,million m3,DFS Table 8,"13,266 ML",Yes,Comparable vs Google,High
Microsoft,2025,Water,Water Consumption,8.17,,million m3,DFS Table 8,"8,170 ML",Yes,Comparable vs Google,High
Microsoft,2025,Water,Withdrawal from Water-Stress Areas,6.659,,million m3,DFS Table 8 footnote,50% of total withdrawals; WRI Aqueduct tool,Yes,,Medium
Microsoft,2025,Water,Consumption from Water-Stress Areas,3.926,,million m3,DFS Table 8 footnote,48% of total consumption,Yes,,Medium
Microsoft,2025,Water,Water Positive Status,,Achieved (first time),status,DFS 1.3,"Replenished >14.2M m3, first time exceeding withdrawal",No,"Milestone, not %",High
Microsoft,2025,Water,Water Use Effectiveness (WUE),0.27,,L/kWh,Narrative + corroborated chart,25% reduction since 2022 baseline,Yes,Same metric as Amazon,High
Microsoft,2025,Waste,Total Waste Generated,58868,,metric tons,DFS Table 9,FY25 includes new cloud hardware packaging data,Yes,Comparable vs Google,High
Microsoft,2025,Waste,Waste Diversion Rate,61.4,,%,DFS Table 9,"Calculated: 36,149/58,868",Yes,Company-wide basis,Medium
Microsoft,2025,Net Zero,Target Year,2030,,year,Sustainability Report,Carbon NEGATIVE - stricter than net-zero; also removes historical emissions since 1975 by 2050,Yes,"Directly stated, stricter framing",High
Google,2025,Company Info,Reporting Period,,"Jan 1 - Dec 31, 2025",text,,,,High,
Google,2025,Company Info,Revenue,402836,,$M,Alphabet 2025 Annual Report / SEC filing,"Up 15% YoY from $350,018M",Yes,,High
Google,2025,Company Info,Employees,190820,,count,Alphabet 2025 Annual Report,"As of Dec 31, 2025",Yes,Calendar-year aligned with Amazon,High
Google,2025,Carbon,Scope 1,0.086,,MMT CO2e,"Data appendix, Table 1","86,100 tCO2e",Yes,GHGP-aligned,High
Google,2025,Carbon,Scope 2 (market-based),2.815,,MMT CO2e,"Data appendix, Table 1",,Yes,Standardized market-basis,High
Google,2025,Carbon,Scope 2 (location-based),15.149,,MMT CO2e,"Data appendix, Table 1",,Yes,Comparable vs Microsoft,High
Google,2025,Carbon,Scope 3,15.946,,MMT CO2e,"Data appendix, Table 1",GHGP-aligned (not 11.572 MMT ambition-based),Yes,GHGP-aligned,High
Google,2025,Carbon,Total Emissions (GHGP-aligned),18.847,,MMT CO2e,"Data appendix, Table 1",Not the 14.473 MMT ambition-based headline,Yes,Standard basis,High
Google,2025,Carbon,"Carbon Intensity (reported, ambition-based)",35.9,,g/$,"Data appendix, intensity table",Company-reported headline; boundary-excluded basis,No,Artificially lower due to Scope 3 exclusions,High
Google,2025,Carbon,"Carbon Intensity (recalculated, GHGP-aligned)",46.8,,g/$,Calculated,"18,847,100t / $402,836M",Yes,Analyst-derived for fair comparison,Medium
Google,2025,Energy,Total Energy Consumption,44046500,,MWh,"Data appendix, Energy table",,Yes,Comparable vs Microsoft,High
Google,2025,Energy,Renewable Electricity Match,100,,%,"Data appendix, Energy table","Annual matching, consistent since 2021",Yes,Annual-matching basis,High
Google,2025,Energy,24/7 Carbon-Free Energy (CFE),65,,%,Narrative,Hourly-matched; target 100% by 2030,No,"Stricter, Google-specific metric",High
Google,2025,Energy,PUE,1.09,,ratio,Narrative,Fleet-wide average,Yes,Directly comparable,High
Google,2025,Water,Water Withdrawal,55.6,,million m3,"Data appendix, Water table","Converted from 14,689M gallons",Yes,Comparable vs Microsoft,High
Google,2025,Water,Water Consumption (total),41.1,,million m3,"Data appendix, Water table","Converted from 10,869M gallons",Yes,Comparable vs Microsoft,High
Google,2025,Water,Water Consumption (freshwater only),37.65,,million m3,"Data appendix, Water table","Converted from 9,947M gallons",No,Google-specific split,High
Google,2025,Water,Water Replenished,29.21,,million m3,"Data appendix, Water table","Converted from 7,717M gallons",Yes,,Medium
Google,2025,Water,Water Replenishment Progress,78,,%,"Data appendix, Water table",Of freshwater consumption; target 120% by 2030,Yes,"Amazon's is AWS-only, Google's is company-wide",Medium
Google,2025,Water,Water Use Effectiveness (WUE),,,L/kWh,,Not disclosed in Google's own report or footnotes,No,Not disclosed,Missing
Google,2025,Water,Water Use Effectiveness (WUE) - unverified,1.15,,L/kWh,AI search summary (not primary source),Attributed to evaporative cooling strategy; NOT confirmed in Google's own report,No,"Third-party estimate, unconfirmed",Low
Google,2025,Waste,Total Waste Generated,65900,,metric tons,"Data appendix, Waste table",Office portion reflects 2023+ methodology change,Yes,Comparable vs Microsoft,High
Google,2025,Waste,Waste Diversion Rate,88,,%,"Data appendix, Waste table",Data centers + offices combined,Yes,Company-wide basis,High
Google,2025,Net Zero,Target Year,2030,,year,Page 74,Full value chain (Scope 1+2+3),Yes,Directly stated,High
Amazon,2025,Carbon,Scope3 Cat1 - Purchased Goods & Services,18.63,,MMT CO2e,Page 46,,Yes,"Category 1, present in all three",High
Amazon,2025,Carbon,Scope3 Cat2 - Capital Goods,16.96,,MMT CO2e,Page 46,,No,Google merges Cat2 with Cat11 — not separately comparable,High
Amazon,2025,Carbon,Scope3 Cat3 - Fuel & Energy-Related Activities,5.7,,MMT CO2e,Page 46,,Yes,"Category 3, present in all three",High
Amazon,2025,Carbon,Scope3 Cat4 - Upstream Transportation & Distribution,10.87,,MMT CO2e,Page 46,,Yes,"Category 4, present in all three",High
Amazon,2025,Carbon,Scope3 Cat6 - Business Travel,1.04,,MMT CO2e,Page 46,,Yes,"Category 6, present in all three",High
Amazon,2025,Carbon,Scope3 Cat7 - Employee Commuting,2.98,,MMT CO2e,Page 46,,Yes,"Category 7, present in all three",High
Amazon,2025,Carbon,Scope3 Cat9 - Downstream Transportation & Distribution,4.01,,MMT CO2e,Page 46,,No,Not separately disclosed by Google,High
Amazon,2025,Carbon,Scope3 Cat11 - Use of Sold Products,1.52,,MMT CO2e,Page 46,,No,Google merges Cat11 with Cat2 — not separately comparable,High
Amazon,2025,Carbon,Scope3 Cat12 - End-of-Life Treatment of Sold Products,0.03,,MMT CO2e,Page 46,,No,Not separately disclosed by Google,High
Microsoft,2025,Carbon,Scope3 Cat1 - Purchased Goods & Services,5.129,,MMT CO2e,DFS Table 1A,,Yes,"Category 1, present in all three",High
Microsoft,2025,Carbon,Scope3 Cat2 - Capital Goods,9.044,,MMT CO2e,DFS Table 1A,,No,Google merges Cat2 with Cat11 — not separately comparable,High
Microsoft,2025,Carbon,Scope3 Cat3 - Fuel & Energy-Related Activities,1.075,,MMT CO2e,DFS Table 1A,,Yes,"Category 3, present in all three",High
Microsoft,2025,Carbon,Scope3 Cat4 - Upstream Transportation & Distribution,0.823,,MMT CO2e,DFS Table 1A,,Yes,"Category 4, present in all three",High
Microsoft,2025,Carbon,Scope3 Cat5 - Waste Generated in Operations,0.014,,MMT CO2e,DFS Table 1A,,No,Not separately disclosed by Amazon,High
Microsoft,2025,Carbon,Scope3 Cat6 - Business Travel,0.239,,MMT CO2e,DFS Table 1A,,Yes,"Category 6, present in all three",High
Microsoft,2025,Carbon,Scope3 Cat7 - Employee Commuting,0.284,,MMT CO2e,DFS Table 1A,,Yes,"Category 7, present in all three",High
Microsoft,2025,Carbon,Scope3 Cat9 - Downstream Transportation & Distribution,0.086,,MMT CO2e,DFS Table 1A,,No,Not separately disclosed by Google,High
Microsoft,2025,Carbon,Scope3 Cat11 - Use of Sold Products,1.54,,MMT CO2e,DFS Table 1A,,No,Google merges Cat11 with Cat2 — not separately comparable,High
Microsoft,2025,Carbon,Scope3 Cat12 - End-of-Life Treatment of Sold Products,0.003,,MMT CO2e,DFS Table 1A,,No,Not separately disclosed by Google,High
Microsoft,2025,Carbon,Scope3 Cat13 - Downstream Leased Assets,0.006,,MMT CO2e,DFS Table 1A,,No,Not disclosed by Amazon or Google,High
Google,2025,Carbon,Scope3 Cat1 - Purchased Goods & Services,4.023,,MMT CO2e,"Data appendix, Table 1",,Yes,"Category 1, present in all three",High
Google,2025,Carbon,Scope3 Cat2+11 - Capital Goods & Use of Sold Products (combined),8.979,,MMT CO2e,"Data appendix, Table 1",Google reports these two GHGP categories as one combined line,No,Not separately comparable to Amazon's/Microsoft's split Cat2 and Cat11,High
Google,2025,Carbon,Scope3 Cat3 - Fuel & Energy-Related Activities,0.718,,MMT CO2e,"Data appendix, Table 1",,Yes,"Category 3, present in all three",High
Google,2025,Carbon,Scope3 Cat4 - Upstream Transportation & Distribution,1.073,,MMT CO2e,"Data appendix, Table 1",,Yes,"Category 4, present in all three",High
Google,2025,Carbon,Scope3 Cat5 - Waste Generated in Operations,0.009,,MMT CO2e,"Data appendix, Table 1",,No,Not separately disclosed by Amazon,High
Google,2025,Carbon,Scope3 Cat6 - Business Travel,0.449,,MMT CO2e,"Data appendix, Table 1",,Yes,"Category 6, present in all three",High
Google,2025,Carbon,Scope3 Cat7 - Employee Commuting,0.14,,MMT CO2e,"Data appendix, Table 1",,Yes,"Category 7, present in all three",High
Google,2025,Carbon,Scope3 Cat8 - Upstream Leased Assets,0.555,,MMT CO2e,"Data appendix, Table 1",,No,Not disclosed by Amazon or Microsoft,High
